study,subject_id,session_name,time_min,time_max,usv_recorded,lever_recorded,freezing_recorded,boli_recorded,group_guess,context_guess
2,EXT2R,lever_training,0.0,2400.0,False,True,False,False,extinction,B_or_operant
2,EXT2R,renewal,0.0,730.0,True,True,True,True,extinction,A
2,EXT2R,retrieval,0.0,380.0,True,True,True,True,extinction,B_or_operant
2,EXT3B,LTM1,0.0,735.0,True,False,True,True,extinction,B_or_operant
2,EXT3B,LTM2,0.0,735.0,True,True,True,True,extinction,B_or_operant
2,EXT3B,extinction1,0.0,3455.0,True,True,True,True,extinction,B_or_operant
2,EXT3B,extinction2,0.0,1995.0,True,True,True,True,extinction,B_or_operant
2,EXT3B,extinction3,0.0,1995.0,True,True,True,True,extinction,B_or_operant
2,EXT3B,extinction4,0.0,1995.0,True,True,True,True,extinction,B_or_operant
2,EXT3B,learning,0.0,1135.0,True,True,True,True,extinction,A
2,EXT3B,lever_training,0.0,2405.0,False,True,False,False,extinction,B_or_operant
2,EXT3B,renewal,0.0,730.0,True,True,True,True,extinction,A
2,EXT3B,retrieval,0.0,375.0,True,True,True,True,extinction,B_or_operant
2,EXT3G,LTM1,0.0,740.0,True,False,True,True,extinction,B_or_operant
2,EXT3G,LTM2,0.0,735.0,True,True,True,True,extinction,B_or_operant
2,EXT3G,extinction1,0.0,3455.0,True,True,True,True,extinction,B_or_operant
2,EXT3G,extinction2,0.0,2010.0,True,True,True,True,extinction,B_or_operant
2,EXT3G,extinction3,0.0,1995.0,True,True,True,True,extinction,B_or_operant
2,EXT3G,extinction4,0.0,1995.0,True,True,True,True,extinction,B_or_operant
2,EXT3G,learning,0.0,1145.0,True,True,True,True,extinction,A
2,EXT3G,lever_training,0.0,2400.0,False,True,False,False,extinction,B_or_operant
2,EXT3G,renewal,0.0,730.0,True,True,True,True,extinction,A
2,EXT3G,retrieval,0.0,375.0,True,True,True,True,extinction,B_or_operant
2,EXT3R,LTM1,0.0,735.0,True,False,True,True,extinction,B_or_operant
2,EXT3R,LTM2,0.0,735.0,True,True,True,True,extinction,B_or_operant
2,EXT3R,extinction1,0.0,3435.0,True,True,True,True,extinction,B_or_operant
2,EXT3R,extinction2,0.0,2010.0,True,True,True,True,extinction,B_or_operant
